author_code;author_name;lobby_index;google_h_index;prod_bag;nationality;doc_begin;doc_end
K4531508J1;Emin Ugur Ulugergerli;1;0;;Turquia;1995;1998

K4262024P3;Eugénio da Costa Oliveira;1;0;;Portugal;1980;1984

K4771520E6;Evgueni Dodonov;1;0;;Rússia;2005;2009

K4647030Y2;Fernando Batista;1;13;;Portugal;2006;2011

K4825679J2;Georg Carle;1;19;;Alemanha;1992;1996

K4515890D4;Harry Richard Gail;1;0;;Estados Unidos;1979;1983

K4469668Z6;Haubois Xavier;1;0;;França;2005;2009

K4703321P6;Hernan Enrique Astudillo Rojas;1;0;;Chile;;1996

K4499700P1;Hiep Han;1;6;;Vietnã;2006;2010

K4421220U1;Isela Macia Bertran;1;0;;Cuba;2009;2013

K4265073E0;James Gee;1;70;;Nigéria;1988;1996

K4475833J6;Jesús Cepeda;1;3;;México;2008;2010

K4302897J3;Joaquim Jorge;1;34;;Portugal;1992;1994

K4441830A4;Joe Tekli;1;11;;Canadá;2007;2009

K4731493H8;John Mylopoulos;1;82;;Canadá;1967;1970

K4125297Y2;Jon George Rokne;1;0;;Noruega;1966;1969

K4973803A3;José Danado;1;0;;Portugal;2003;2008

K4058206J2;Kimmo Kettunen;1;9;;Finlândia;2002;2007

K4684096D4;Klaus Schmid;1;33;;Alemanha;1998;2002

K4371835H4;Liesner Acevedo Martínez;1;4;;Cuba;2004;2009

K4693200Z8;Lorna Uden;1;0;;Finlândia;1999;2004

K4679089D9;Luís Mota;1;0;;Portugal;2007;2012

K4337149P0;Manuel Mazzara;1;14;;Itália;2003;2006

K4352874T4;Mário Gaspar da Silva;1;0;;Portugal;1990;1995

K4828957T4;Mario Salvador González Rodríguez;1;0;;Nicarágua;2008;2012

K4772274A0;Mark Tarver;1;0;;Inglaterra;1981;1985

K4744469E8;Mary Lou Maher;1;45;;Austrália;1980;1984

K4778110D2;Mateo Valero;1;51;;Espanha;1976;1980

K4448115Y0;Mélanie Ponchie;1;0;;França;2003;2007

K4336029J6;Philippe Mahey;1;15;;França;1975;1978

K4265127T9;Suneeta Ramaswami;1;13;;Índia;1988;1994

K4760610Z4;Michael Schessl;1;0;;Alemanha;1991;1997

K4033349Y6;Mitsunori Ogihara;1;41;;Japão;1987;1993

K4700207D6;Dirk Marinus Van Solingen;1;0;;Holanda;1995;2000

K4672580U5;Montserrat Padró Cirera;1;0;;Espanha;2002;2008

K4252874A9;Monique Teillaud;1;24;;França;1988;1991

K4359186A8;Carlos Riveros;1;12;;Argentina;1980;1990

K4746435A6;Nitin Indurkhya;1;0;;Austrália;1989;1991

K4532788E5;Daniel Edgardo Fridlender;1;0;;Argentina;1994;1997

K4113229A3;David Roger Jones Owen;1;0;;Inglaterra;1965;1969

K4222190Z7;Alonso Perez-Soltero;1;8;;México;2004;2006

K4900873Z4;Nuno Manuel de Carvalho Ferreira Guimarães;1;0;;Portugal;1987;1992

K4325878E6;David Mandel Weiss;1;0;;Estados Unidos;1977;1981

K4866547J3;W Randolph Franklin;1;25;;Canadá;1975;1978

K4657129U6;Nuno Manuel Mendes da Cruz David;1;0;;Portugal;1999;2005

K4330022Z9;Dirk Muthig;1;0;;Alemanha;1998;2002

K4113268E5;Djordje Peric;1;35;;Croácia;1989;1995

K4781642E8;Oscar Porto;3;;;Argentina;1987;1991

K4924615E6;Pierre Yves Andrews;1;0;;Suiça;2004;2008

K4347393Y9;Sizwe Dhlamini;1;0;;África do Sul;2003;2007

K4768800P4;Danays Morejon Gonzalez;1;22;;Cuba;1998;2001

K4287514H9;Alexandre Miège;1;0;;França;2002;2005

K4706071Z7;Waldo Gonzalo Cancino Ticona;2;0;;Peru;2003;2008

K4765093H7;Sidi Ould Ehmety;1;0;;Mauritânia;1993;1997

K4707599Y4;Andreas Herzig;1;36;;Alemanha;1985;1989

K4307457T4;Sol Sidney Fels;1;0;;Canadá;1990;1994

K4333346J9;Sergey Gubarev;1;0;;;;
K4254824U6;Pierre-Dominique Pautet;1;13;;França;1997;2000

K4321680A0;Carlos Morell;1;7;;Cuba;2001;2005

K4337685E4;Richard Bonichon;1;0;;França;2003;2006

K4221583H2;Antonio Gatti;1;0;;Itália;1999;2002

K4363027P3;Benjamín Barán;1;0;;Paraguai;1989;1993

K4082408P8;Ricardo Colomo-Palacios;1;25;;Espanha;1997;2006

K4324465U9;Riccardo Paraboschi;1;0;;Itália;1986;1993

K4700068D5;Richard Gagnon;1;0;;Canadá;1975;1978

K4220357A2;Steven Dufour;1;0;;Canadá;1995;1999

K4354483Z5;Sylvain Collange;1;12;;França;2007;2010

K4471806E9;Taejin Park;1;14;;Coréia do Sul;2003;2008

K4831684T8;Xijun Yu;1;0;;China;1990;1993

K4366731Y3;Andres Soto Villaverde;1;0;;Cuba;2006;2008

K4707920Z8;Christian Jacques Rentería;2;0;;França;2000;2004

K4336046D6;Senthilkumar Sukumar;1;0;;;;
K4334360J6;Haim Levkowitz;1;18;;;;
K4351001D2;Cédric Jean François JOFFROY;1;0;;França;2007;2011

K4711811D4;Awais Rashid;1;39;;Paquistão;1997;2000

K4046039U7;Abel Gómez Llana;1;0;;Espanha;2005;2012

K4708369Y5;Abdenaim El-Yacoubi;1;0;;Marrocos;1992;1996

K4964802J0;Armando Vieira;1;14;;Portugal;1993;1997

K4490793E2;Claudia Leon;1;14;;Colômbia;1997;2001

K4895478Z6;Luis Soares Barbosa;1;0;;;;
K4892084Z6;Sven Stork;1;0;;;;
K4808890U9;Christoph Groenegress;1;8;;;;
K8786715E2;Miguel Francisco de Almeida Pereira da Rocha;1;0;;;;
K4667236H8;Alejandro Garcés Calvelo;1;0;;Cuba;2006;2009

K4773123T0;Emerson Ribeiro de Mello;2;7;;Brasil;2003;2008

K4767236H2;Emilena Josimari Lorenzon;1;0;;Brasil;2007;2011

K4775202D9;Emilia Maria Mendonça Parentoni;1;0;;Brasil;2004;2008

K4791022P1;Emiliano Gomes Padilha;1;0;;Brasil;2001;2006

K4758020D1;Ilias Biris;1;0;;Grécia;1996;2003

K4760878A5;Jacques Pierre Louis Robin;4;0;;França;1986;1995

K4906070Y7;Jan Baumbach;1;24;;Brasil;2005;2008

K4244137D7;Jochen Junker;1;0;;Alemanha;1995;2000

K4509120U7;Juan Carlos Zuñiga Torres;1;3;;Peru;2008;2013

K4779919A0;Judith Virginia Pavón Mendoza;1;0;;Paraguai;2000;2005

K4735786P9;Laure Waha Ndeuna Mendouga;1;0;;Camarões;1993;1999

K4302990H1;Leonid Levchuk;1;0;;Rússia;1988;1999

K4768131J8;Luisa Aleyda Garcia González;1;2;;Cuba;2000;2005

K4831410T7;Massimo De Gregorio;1;10;;Itália;1987;1990

K4736213E6;Matthieu Cord;1;27;;França;1996;1998

K4839255Y7;Miguel Nuno Dias Alves Pupo Correia;1;0;;Portugal;1999;2003

K4241143J0;Nestor Walter Trepode;4;0;;Argentina;2002;2007

K4708755E4;Nicolas Anquetil;2;22;;França;1991;1996

K4736670U6;Olga Yevseyeva;2;0;;Ucrânia;2005;2009

K4707959D4;Pável Pereira Calado;5;0;;Portugal;2000;2004

K4775791J0;Pedro Gonçalves Lind;1;0;;Portugal;2000;2003

K4493598P8;Rafael Corchuelo;1;16;;Espanha;1994;1999

K4327547Y9;Robert Alan Edwards;1;0;;Inglaterra;1991;1994

K4708347D8;Robert Sabourin;8;43;;Canadá;1985;1990

K4310011Z0;Rongpei Zhang;1;0;;China;2009;2012

K4706242A3;Ruben Gómez Díaz;1;0;;Peru;2004;2009

K4777358Y9;Sebastian Risau Gusman;1;0;;Argentina;1998;2001

K4739423H7;Sylvie Philipp Foliguet;1;0;;França;1985;1988

K4354451Z0;Thomas Werner Jeffre;1;0;;Alemanha;1981;1983

K4703665P6;Vítor Manuel de Morais Santos Costa;1;0;;Portugal;1988;1993

K4975736H6;Carlos Manuel Jorge da Costa;1;0;;França;1998;2002

K4233606D7;Yalmar Temistocles Ponce Atencio;1;0;;Peru;2005;2011

K4791245U0;Carlos Javier Solano Salinas;1;0;;;;
K8708785E1;João Baptista da SIlva Araujo Junior;1;0;;;;
K8720601Y0;Ana Teresa Correia de Freitas;1;0;;;;
K8710328Z9;Pedro Ventura Alves da Silva;1;0;;;;
K4850943D1;Javier Lezama;1;13;;;;
K8705057Z5;Mehdi Khouja;1;2;;;;
K8187278T0;Carlos Pampulim Caldeira;1;4;;;;
K8705359U9;David Desmaisons;1;0;;;;
K8165353E0;Olivier Hermant;1;10;;;;
K8164742A6;Maribel Hernández Rosales;1;0;;;;
K8164827J6;Fernando Pedone;1;29;;;;
K8151208H0;John Franklin Arce;1;0;;;;
K8150736T6;Marouan Bouali;1;0;;;;
K4778036U5;Diane Castonguay;1;0;;Canadá;1998;2002

K8754406E2;Joel Hernan Flores Martinez;1;0;;;;
K8155739J7;Amrapali Zaveri;1;10;;;;
K4880588U2;Damien Poirier;1;0;;França;2007;2011

K4258661T6;José Francisco Lucio Naranjo;1;2;;;;
K8176703T1;Jean Christophe Desconnets;1;8;;;;
K8582867Z4;Julian Julian Andres Salamanca Bernal;1;0;;;;
K8173049H9;Luis Rodrigues;1;79;;;;
K8196933P7;Gottfried Vossen;1;36;;;;
K8587642E6;Abuzer Yakaryilmaz;1;12;;;;
K8569073Z6;Luis Paulo Gonçalves dos Reis;1;0;;;;
K8183619P3;Viorel Milea;1;9;;;;
K8559327E2;Jaime Pavlich Mariscal;1;7;;;;
K8559335H1;Angela Cristina Carrillo Ramos;1;0;;;;
